Item,Category,Effect,Cost,Image
TM40,Machines,Teaches the move Skull Bash/Defense Curl/Aerial Ace.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM41,Machines,Teaches the move Softboiled/ThunderPunch/Torment.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM42,Machines,Teaches the move Dream Eater/Facade.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM43,Machines,Teaches the move Sky Attack/Detect/Secret Power/Flame Charge.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM44,Machines,Teaches the move Rest.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM45,Machines,Teaches the move Thunder Wave/Attract.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM46,Machines,Teaches the move Psywave/Thief.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM47,Machines,Teaches the move Explosion/Steel Wing/Low Sweep.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM48,Machines,Teaches the move Rock Slide/Fire Punch/Skill Swap/Round.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM49,Machines,Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM50,Machines,Teaches the move Substitute/Nightmare/Overheat.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM51,Machines,Teaches the move Roost/Ally Switch/Steel Wing.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM52,Machines,Teaches the move Focus Blast.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM53,Machines,Teaches the move Energy Ball.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM54,Machines,Teaches the move False Swipe.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM55,Machines,Teaches the move Brine/Scald.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM56,Machines,Teaches the move Fling.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM57,Machines,Teaches the move Charge Beam.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM58,Machines,Teaches the move Endure/Sky Drop.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM59,Machines,Teaches the move Dragon Pulse/Incinerate.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM60,Machines,Teaches the move Drain Punch/Quash.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM61,Machines,Teaches the move Will-O-Wisp.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM62,Machines,Teaches the move Silver Wind/Acrobatics.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM63,Machines,Teaches the move Embargo.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM64,Machines,Teaches the move Explosion.,7500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM65,Machines,Teaches the move Shadow Claw.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM66,Machines,Teaches the move Payback.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM67,Machines,Teaches the move Recycle/Retaliate.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM68,Machines,Teaches the move Giga Impact.,7500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM69,Machines,Teaches the move Rock Polish.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM70,Machines,Teaches the move Flash.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM71,Machines,Teaches the move Stone Edge.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM72,Machines,Teaches the move Avalanche/Volt Switch.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM73,Machines,Teaches the move Thunder Wave.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM74,Machines,Teaches the move Gyro Ball.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM75,Machines,Teaches the move Swords Dance.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM76,Machines,Teaches the move Stealth Rock/Struggle Bug.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM77,Machines,Teaches the move Psych Up.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM78,Machines,Teaches the move Captivate/Bulldoze.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM79,Machines,Teaches the move Dark Pulse/Frost Breath.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM80,Machines,Teaches the move Rock Slide.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM81,Machines,Teaches the move X-Scissor.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM82,Machines,Teaches the move Sleep Talk/Dragon Tail.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM83,Machines,Teaches the move Natural Gift/Work Up/Infestation.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM84,Machines,Teaches the move Poison Jab.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM85,Machines,Teaches the move Dream Eater.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM86,Machines,Teaches the move Grass Knot.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM87,Machines,Teaches the move Swagger.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM88,Machines,Teaches the move Pluck/Sleep Talk.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM89,Machines,Teaches the move U-turn.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM90,Machines,Teaches the move Substitute.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM91,Machines,Teaches the move Flash Cannon.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM92,Machines,Teaches the move Trick Room.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM93,Machines,Teaches the move Wild Charge.,10000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM94,Machines,Teaches the move Rock Smash.,10000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM95,Machines,Teaches the move Snarl.,10000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM96,Machines,Teaches the move Nature Power.,Cannot be purchased,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM97,Machines,Teaches the move Dark Pulse.,Cannot be purchased,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM98,Machines,Teaches the move Power-Up Punch.,Cannot be purchased,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM99,Machines,Teaches the move Dazzling Gleam.,Cannot be purchased,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pokémon.,100,https://cdn.bulbagarden.net/upload/4/42/Dream_Antidote_Sprite.png
Awakening,Medicine,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.,250,https://cdn.bulbagarden.net/upload/7/7b/Dream_Awakening_Sprite.png
Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.,100,https://cdn.bulbagarden.net/upload/e/e7/Dream_Berry_Juice_Sprite.png
Burn Heal,Medicine,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.,250,https://cdn.bulbagarden.net/upload/f/f4/Dream_Burn_Heal_Sprite.png
Calcium,Medicine,A nutritious drink for Pokémon. It raises the base Sp. Atk (Special Attack) stat of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/3/3d/Dream_Calcium_Sprite.png
Carbos,Medicine,A nutritious drink for Pokémon. It raises the base Speed stat of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/9/95/Dream_Carbos_Sprite.png
Casteliacone,Medicine,"Castelia City's specialty, soft-serve ice cream. It heals all the status problems of a single Pokémon.",100,https://cdn.bulbagarden.net/upload/7/7c/Dream_Casteliacone_Sprite.png
Clever Wing,Medicine,Increases Special Defense EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/clever-wing.png
Elixir,Medicine,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/elixir.png
Energy Root,Medicine,A very bitter root. It restores the HP of one Pokémon by 200 points.,800,https://cdn.bulbagarden.net/upload/9/95/Dream_Energy_Root_Sprite.png
Energy Powder,Medicine,A very bitter medicine powder. It restores the HP of one Pokémon by 50 points.,500,https://cdn.bulbagarden.net/upload/1/14/Dream_Energy_Powder_Sprite.png
Ether,Medicine,It restores the PP of a Pokémon's selected move by a maximum of 10 points.,1200,https://cdn.bulbagarden.net/upload/d/d6/Dream_Ether_Sprite.png
Fresh Water,Medicine,Water with a high mineral content. It restores the HP of one Pokémon by 50 points.,200,https://cdn.bulbagarden.net/upload/0/08/Dream_Fresh_Water_Sprite.png
